"id","status","sort","name","slug","featured_image","avatar","images","gallery","description","lat","lng","address","city","state","postcode","country","hours","coupons","deals","rating","tags","twitter","facebook","instagram","tumblr","googleplus","type"
"1","2","0","Wellness Earth Energy Dispensary","wellness-earth-energy-dispensary/","http://kushy.net/wp-content/uploads/2016/10/theweed.jpg","http://weedporndaily.com/delivery/wp-content/uploads/2016/10/theweed.jpg",NULL,NULL,,"34.1403471","-118.3837512","11557","Los Angeles","CA","91604","US","a:7:{i:1;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:2;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:3;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:4;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:5;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:6;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:0;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}}",NULL,NULL,NULL,NULL,,,,,,
"2","2","0","Old Glory","old-glory/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"41.3973809","-72.854575","151","North Haven","CT","06473","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"3","2","0","F5 Smoke Shop","f5-smoke-shop/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"40.619561","-75.4318659","1529","Allentown","PA","18109","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"4","2","0","Smokers Choice","smokers-choice/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"41.4299156","-74.4231446","125","Middletown","NY","10940","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"5","2","0","Liquid Glass Inc","liquid-glass-inc/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"41.0906519","-73.9179146","0","Nyack","NY","10960","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"6","2","0","Nutz","nutz/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"41.6072548","-73.9109072","1708","Wappingers Falls","NY","12590","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"7","2","0","Pavilion","pavilion/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"40.9268692","-73.11794","764","Setauket- East Setauket","NY","11733","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"8","2","0","Jamaica Junction","jamaica-junction/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"41.3170948","-74.1693356","400","Monroe","NY","10950","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"9","2","0","Pipe Dream","pipe-dream/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"41.3209708","-74.1847391","581","Monroe","NY","10950","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"10","2","0","English Tobacco","english-tobacco/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"40.3239887","-74.360765","557","Monroe Township","NJ","08831","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"11","2","0","Utopia","utopia/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,"40.7707971","-73.5271892","3","Hicksville","NY","11801","US",,NULL,NULL,NULL,NULL,,,,,,"Headshop"
"12","2","0","Wonderland Smoke Shop","wonderland-smoke-shop/","http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg","http://weedporndaily.com/images/weed-leaf2.gif",NULL,NULL,,,,"0","East Brunswick",,,,,NULL,NULL,NULL,NULL,,,,,,"Headshop"
